Time,Temperature °C,Humidity %,pTemperature °C,pressure
2021-09-08 16:20:59.957271,25,44,25,1016
2021-09-08 16:21:10.148381,25,44,25,1016
2021-09-08 16:21:20.284985,25,44,25,1016
2021-09-08 16:21:30.435361,25,44,25,1016
2021-09-08 16:21:40.534228,25,45,25,1016
2021-09-08 16:21:50.695213,25,44,25,1016
2021-09-08 16:22:00.847553,25,44,25,1016
2021-09-08 16:22:10.974614,25,45,25,1016
2021-09-08 16:22:21.063442,25,45,25,1016
2021-09-08 16:22:31.250280,25,44,25,1016
2021-09-08 16:22:41.337554,25,44,25,1016
2021-09-08 16:22:51.521531,25,45,25,1016
2021-09-08 16:23:01.672034,25,45,25,1016
2021-09-08 16:23:11.814017,25,45,25,1016
2021-09-08 16:23:21.947858,25,45,25,1016
2021-09-08 16:23:32.083093,25,45,25,1016
2021-09-08 16:23:42.169262,25,45,25,1016
2021-09-08 16:23:52.362852,25,45,25,1016
2021-09-08 16:24:02.461039,25,45,25,1016
2021-09-08 16:24:12.621442,25,45,25,1016
2021-09-08 16:24:22.771969,25,45,25,1016
2021-09-08 16:24:32.910227,25,45,25,1016
2021-09-08 16:24:43.032884,25,45,25,1016
2021-09-08 16:24:53.191604,25,45,24,1016
2021-09-08 16:25:03.284737,25,45,24,1016
2021-09-08 16:25:13.464318,25,45,24,1016
2021-09-08 16:25:23.587960,25,45,24,1016
2021-09-08 16:25:33.742560,25,45,24,1016
2021-09-08 16:25:43.871149,25,45,24,1016
2021-09-08 16:25:54.006346,25,46,24,1016
2021-09-08 16:26:04.173053,25,46,24,1016
2021-09-08 16:26:14.272276,25,46,24,1016
2021-09-08 16:26:24.397293,25,46,24,1016
2021-09-08 16:26:34.552213,25,46,24,1016
2021-09-08 16:26:44.689025,25,46,24,1016
2021-09-08 16:26:54.844280,25,46,24,1016
2021-09-08 16:27:04.975334,25,46,24,1016
2021-09-08 16:27:15.118903,25,46,24,1016
2021-09-08 16:27:25.257163,25,46,24,1016
2021-09-08 16:27:35.397194,24,46,24,1016
2021-09-08 16:27:45.488086,25,46,24,1016
2021-09-08 16:27:55.654119,24,46,24,1016
2021-09-08 16:28:05.811198,24,46,24,1016
2021-09-08 16:28:15.937736,24,46,24,1016
2021-09-08 16:28:26.015768,24,46,24,1016
2021-09-08 16:28:36.220851,24,46,24,1016
2021-09-08 16:28:46.354981,24,46,24,1016
2021-09-08 16:28:56.484309,24,47,24,1016
2021-09-08 16:29:06.636892,24,47,24,1016
2021-09-08 16:29:16.770104,24,47,24,1016
2021-09-08 16:29:26.907723,24,47,24,1016
2021-09-08 16:29:37.003868,24,47,24,1016
2021-09-08 16:29:47.186277,24,47,24,1016
2021-09-08 16:29:57.320372,24,47,24,1016
2021-09-08 16:30:07.413563,24,47,24,1016
2021-09-08 16:30:17.589990,24,47,24,1016
2021-09-08 16:30:28.707341,24,47,24,1016
2021-09-08 16:30:38.889138,24,47,24,1016
2021-09-08 16:30:49.035122,24,47,24,1016
2021-09-08 16:30:59.170086,24,47,24,1016
2021-09-08 16:31:09.259476,24,47,24,1016
2021-09-08 16:31:19.453797,24,47,24,1016
2021-09-08 16:31:29.539499,24,47,24,1016
